MeasureId,MeasureType,StratificationLevel,StateFips,StateName,CountyName,ReportYear,Value,UnitName,DataOrigin,MonitorOnly
87,Average,State x County,1,Alabama,DeKalb,2010,11.55083494,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Baldwin,2010,10.23908602,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Colbert,2010,10.4930291,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Talladega,2010,11.74138446,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Clay,2010,10.51590608,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Houston,2010,10.31312366,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Mobile,2010,9.784112069,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Walker,2010,11.2522773,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Tuscaloosa,2010,11.04231183,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Jefferson,2010,13.85799171,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Montgomery,2010,11.22333744,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Morgan,2010,11.22903226,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Shelby,2010,11.30424453,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Madison,2010,11.58418203,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Russell,2010,13.15889785,Micograms per cubic meter,Monitor Only,1
87,Average,State x County,1,Alabama,Etowah,2010,11.76328142,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Autauga,2010,11.09382575,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Baldwin,2010,9.687064611,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Barbour,2010,11.32742759,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Bibb,2010,10.96947807,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Blount,2010,12.07552242,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Bullock,2010,10.84733502,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Butler,2010,10.15325767,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Calhoun,2010,12.44110563,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Chambers,2010,11.71455195,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Cherokee,2010,12.20301947,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Chilton,2010,11.18802654,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Choctaw,2010,10.12317788,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Clarke,2010,10.11640924,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Clay,2010,11.13739252,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Cleburne,2010,11.77477579,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Coffee,2010,10.49786232,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Colbert,2010,11.18117799,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Conecuh,2010,9.869064937,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Coosa,2010,11.067625,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Covington,2010,10.04174739,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Crenshaw,2010,10.36306712,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Cullman,2010,12.07109635,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Dale,2010,10.64147116,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Dallas,2010,10.55958245,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,DeKalb,2010,11.91688956,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Elmore,2010,11.35511804,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Escambia,2010,9.702130989,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Etowah,2010,12.10441815,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Fayette,2010,10.64020922,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Franklin,2010,10.80745014,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Geneva,2010,10.35400044,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Greene,2010,10.29038981,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Hale,2010,10.53979283,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Henry,2010,10.77663024,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Houston,2010,10.5827557,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Jackson,2010,11.66419585,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Jefferson,2010,14.31123288,Micograms per cubic meter,Monitor Only,1
296,Average,State x County,1,Alabama,Lamar,2010,10.42404916,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Lauderdale,2010,11.31069062,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Lawrence,2010,11.5931509,Micograms per cubic meter,Monitor & Modeled,0
296,Average,State x County,1,Alabama,Lee,2010,12.09670714,Micograms per cubic meter,Monitor & Modeled,0
